AllGroups	Group	Subject	Version	BlockOrder	Block	PrimeTarget	Trial	List	Decision	CorrResp	Sign	Filename	View	Angle	from0	SignType	Item	PairChange	Difficulty	AngleChange	ACC	ErrorRate	RESP	RT	Priming	PercentFaster	AccChange	EXCLUDERT	EXCLUDEACC	ExclPractice	Excl135Deg	ExclOpposite	ExclItem	ExclSlow	ExclPairExcl	ExclIncorrect	ExclPairIncorr
L2_Fluent	M2L2	S132	V1a_F0_J1	2	Block1	prime	66	28	living	yes	GIRL	GIRL_90L.avi	4	90L	90	1h	28	90to45	easier	45	1	0	j	1314	36	0.03	0	0	0	0	0	0	0	0	0	0	0
L2_Fluent	M2L2	S132	V1a_F0_J1	4	Block3	target	63	28	living	yes	GIRL	GIRL_45L.avi	2	45L	45	1h	28	90to45	easier	45	1	0	j	1278	36	0.03	0	0	0	0	0	0	0	0	0	0	0
L2_Fluent	M2L2	S132	V1a_F0_J1	3	Block2	prime	75	66	edible	no	GLASSES	GLASSES_45L.avi	2	45L	45	2hs	186	45to45	same	0	1	0	f	1651	122	0.08	0	0	0	0	0	0	0	0	0	0	0
L2_Fluent	M2L2	S132	V1a_F0_J1	5	Block4	target	79	66	edible	no	GLASSES	GLASSES_45L.avi	2	45L	45	2hs	186	45to45	same	0	1	0	f	1529	122	0.08	0	0	0	0	0	0	0	0	0	0	0
L2_Fluent	M2L2	S132	V1a_F0_J1	3	Block2	prime	73	29	edible	yes	GRAPES	GRAPES_45R.avi	3	45R	45	2hd	149	45to0	easier	45	1	0	j	3139	53	0.02	0	1	0	0	0	0	0	1	1	0	0
L2_Fluent	M2L2	S132	V1a_F0_J1	5	Block4	target	15	29	edible	yes	GRAPES	GRAPES_0.avi	1	0	0	2hd	149	45to0	easier	45	1	0	j	3086	53	0.02	0	1	0	0	0	0	0	1	1	0	0
L2_Fluent	M2L2	S132	V1a_F0_J1	3	Block2	prime	62	80	edible	no	GRASS	GRASS_90R.avi	5	90R	90	2hd	200	90to90	same	0	1	0	f	1730	-934	-0.35	-1	1	0	0	0	0	0	0	0	0	1
L2_Fluent	M2L2	S132	V1a_F0_J1	5	Block4	target	109	80	edible	no	GRASS	GRASS_90R.avi	5	90R	90	2hd	200	90to90	same	0	0	1	j	2664	-934	-0.35	-1	1	0	0	0	0	0	0	0	1	0
L2_Fluent	M2L2	S132	V1a_F0_J1	3	Block2	prime	65	70	edible	no	HAIR	HAIR_45R.avi	3	45R	45	1h	190	45to45	same	0	1	0	f	2778	370	0.15	0	0	0	0	0	0	0	0	0	0	0
L2_Fluent	M2L2	S132	V1a_F0_J1	5	Block4	target	110	70	edible	no	HAIR	HAIR_45R.avi	3	45R	45	1h	190	45to45	same	0	1	0	f	2408	370	0.15	0	0	0	0	0	0	0	0	0	0	0
